x=13.689; y=-1.035; t=22.524; error=0.0;
x=10.357191200583413; y=-0.0750727532291109; t=26.089; error=0.0020326194684615155;
x=10.351194411700094; y=-0.06407864027635933; t=26.105; error=0.002027079882269986;
x=10.345282944793967; y=-0.0522557064641045; t=26.122; error=0.001871430321476131;
x=10.339202308619859; y=-0.041107873478239576; t=26.138; error=0.002006884159352474;
x=10.332281308411991; y=-0.02924330169332152; t=26.154; error=0.0018778959241718754;
x=10.326140113627886; y=-0.017984444589129085; t=26.17; error=0.0021190870934723765;
x=10.319239150611583; y=-0.00615422227546724; t=26.186; error=0.0019534406896556866;
x=10.313507303264654; y=0.005309472418392315; t=26.202; error=0.0015244398057835098;
x=10.307557363883083; y=0.01720935118153392; t=26.218; error=0.0014577471944892673;
x=10.301620873778488; y=0.02908233139072751; t=26.234; error=0.0013815815548727365;
x=10.29544327011222; y=0.04246713933430829; t=26.25; error=0.001625308309573697;
x=10.290444382351401; y=0.05446446996027051; t=26.265; error=0.0016234773212537921;
x=10.284223660755622; y=0.06794270008445956; t=26.281; error=0.0020109859672203536;
x=10.279358055661566; y=0.07962015231019506; t=26.296; error=0.0017551552918066435;
x=10.273292476671324; y=0.09377316995409095; t=26.312; error=0.0018744139606506412;
x=10.268374024014772; y=0.10557745632981438; t=26.327; error=0.0017254720274114221;
x=10.263390272122495; y=0.11953196162819638; t=26.342; error=0.0016953486406911628;
x=10.258389942434436; y=0.13253281881714732; t=26.357; error=0.001695930793498601;
x=10.252345136709437; y=0.14663736550880888; t=26.372; error=0.0017733604546937825;
x=10.247303664520551; y=0.16075348763768968; t=26.385; error=0.0018561513082155355;
x=10.24237170643061; y=0.17456297028952136; t=26.399; error=0.0017228683916651157;
x=10.237387503689874; y=0.18851873796358606; t=26.412; error=0.0016938811720538197;
x=10.232420122222457; y=0.20242740607234877; t=26.425; error=0.001636670321919992;
x=10.227428589450572; y=0.21740200438800403; t=26.437; error=0.0016220168441871072;
x=10.222409531126154; y=0.23145536769637828; t=26.45; error=0.0016543732884629705;
x=10.216397657336415; y=0.245483073205767; t=26.462; error=0.0016735775254447583;
x=10.211398247847566; y=0.25948141977454153; t=26.474; error=0.0016725354875593492;
x=10.207445843455867; y=0.2743029362434104; t=26.485; error=0.0015834054854150506;
x=10.202462599643384; y=0.2872593701558662; t=26.496; error=0.0015591256313324173;
x=10.197540608236348; y=0.30104094609556714; t=26.508; error=0.00145996606212464;
x=10.19256489000855; y=0.3139778134878477; t=26.519; error=0.0014352814807155401;
x=10.188566124680406; y=0.32797349213634674; t=26.53; error=0.001434120322348917;
x=10.183590261656642; y=0.3409107359981374; t=26.541; error=0.0014125615946797398;
x=10.179563165606249; y=0.3550055721745092; t=26.551; error=0.001436845198409771;
x=10.17567591988658; y=0.3666673093335156; t=26.562; error=0.0013652366924166446;
x=10.171706017284118; y=0.37956949279151686; t=26.572; error=0.0013637183453919044;
x=10.167732338525502; y=0.39149052906736515; t=26.582; error=0.0013662087121402446;
x=10.163770938497604; y=0.4043650791580248; t=26.591; error=0.001383371480204494;
x=10.160762453549767; y=0.4153961906334356; t=26.601; error=0.001376991999845293;
x=10.156744096381164; y=0.42845585143139225; t=26.61; error=0.0013687189501579574;
x=10.15277148576345; y=0.44037368328453397; t=26.619; error=0.0013789560752529935;
x=10.148832288156797; y=0.45219127610449616; t=26.628; error=0.0014204172935855673;
x=10.1447526611637; y=0.46443015708378493; t=26.638; error=0.0013713406293493174;
x=10.141743613055864; y=0.4764663495151293; t=26.647; error=0.0013650241731926697;
x=10.137827825633705; y=0.4882137117816032; t=26.656; error=0.0014114679972946165;
x=10.133838463047944; y=0.5001817995388893; t=26.664; error=0.0014207815052122053;
x=10.129842272013828; y=0.5121703726412389; t=26.673; error=0.0014242947884376077;
x=10.125772113769685; y=0.524380847373669; t=26.682; error=0.001375156198143326;
x=10.121789849431975; y=0.5363276403867965; t=26.691; error=0.001384388618400389;
x=10.116821978662562; y=0.547256956079505; t=26.7; error=0.0013927844554143163;
x=10.112834596266083; y=0.5592191032689421; t=26.708; error=0.0014028419610228261;
x=10.10783780433273; y=0.571211403908986; t=26.717; error=0.001404486583696451;
x=10.102867101549407; y=0.582146950032296; t=26.725; error=0.0014181513130671656;
x=10.097839366164402; y=0.5942135149563114; t=26.733; error=0.0014020091384439762;
x=10.093912740772366; y=0.604030078436406; t=26.742; error=0.0014570107987252562;
x=10.088873711009422; y=0.6161237498674687; t=26.75; error=0.0014270042694607184;
x=10.083847571026554; y=0.6261760298332036; t=26.758; error=0.0014166931123602814;
x=10.078872352855251; y=0.6381165534443297; t=26.767; error=0.0014325033681586174;
x=10.074887456492421; y=0.6470825702606969; t=26.776; error=0.0014420230174358461;
x=10.069971651175278; y=0.6578973419584119; t=26.784; error=0.001507765254270618;
x=10.065941352788915; y=0.6679730879243198; t=26.793; error=0.0014748838356685617;
x=10.061919555701175; y=0.6780275806436689; t=26.802; error=0.0014536021764676753;
x=10.0579376269013; y=0.6879824026433556; t=26.811; error=0.001471101961486725;
x=10.053971258547916; y=0.6978983235268161; t=26.82; error=0.0015073155034038784;
x=10.049009586714885; y=0.7078216671928815; t=26.83; error=0.0015392812217610594;
x=10.044968831785443; y=0.7179235545164814; t=26.839; error=0.0014906517922368006;
x=10.041012536687987; y=0.728803366034488; t=26.848; error=0.0015514562965126136;
x=10.036120888115057; y=0.7376083334657614; t=26.857; error=0.0016460782025069219;
x=10.03111029689807; y=0.7486316341431289; t=26.866; error=0.00163217545865431;
x=10.02614031933147; y=0.758571589276328; t=26.876; error=0.0016671556757978582;
x=10.022226374574734; y=0.7683564511681699; t=26.885; error=0.0018165211425216507;
x=10.017208437066769; y=0.778392326184102; t=26.895; error=0.0017919785086855484;
x=10.01112545177291; y=0.7905582967718181; t=26.904; error=0.0016862214562910925;
x=10.006127738866114; y=0.8005537225854085; t=26.914; error=0.0016889517002107329;
x=10.001050135801531; y=0.8117244493274922; t=26.924; error=0.001590368357855848;
x=9.996066470985737; y=0.8226885119222384; t=26.934; error=0.0016098066339105255;
x=9.99096304816244; y=0.8339160421334928; t=26.944; error=0.0015000779212372619;
x=9.985076200528965; y=0.8447085961281953; t=26.954; error=0.001587806481532759;
x=9.980149541762362; y=0.8555472454147219; t=26.964; error=0.0016833820419062564;
x=9.975160221033102; y=0.8675216151649496; t=26.974; error=0.001700250109175961;
x=9.969119557140926; y=0.8785961656339388; t=26.985; error=0.0016570849572153184;
x=9.962218429496247; y=0.890426670167673; t=26.995; error=0.0017567638468577306;
x=9.956172494554123; y=0.9015108842282373; t=27.006; error=0.0017035935679235354;
x=9.950284103195221; y=0.9132876669460394; t=27.017; error=0.0018559614012095154;
x=9.943315075687739; y=0.9232434205281579; t=27.028; error=0.0018853892845841684;
x=9.937211422156398; y=0.9354507275908389; t=27.039; error=0.0017384188256022867;
x=9.930108396026723; y=0.945597907776088; t=27.05; error=0.001661571620339013;
x=9.923383156235458; y=0.9571268902754021; t=27.06; error=0.001972063962004559;
x=9.916405047603241; y=0.967095616892854; t=27.071; error=0.0019951549747304407;
x=9.910422325181852; y=0.9780639413320693; t=27.082; error=0.0020204037619227628;
x=9.904402031708722; y=0.9870943815417637; t=27.093; error=0.0019972350351784266;
x=9.898328512225627; y=0.9982291672607716; t=27.104; error=0.0018938702229706617;
x=9.89340339529276; y=1.007094377739935; t=27.116; error=0.0019968308327838534;
x=9.887494350538603; y=1.0169427856635282; t=27.127; error=0.002118445704755183;
x=9.882444814398921; y=1.0260319507149551; t=27.139; error=0.0020448591736376403;
x=9.877558567001481; y=1.03482719603035; t=27.151; error=0.0022171919589220393;
x=9.871496021504788; y=1.0439210142753899; t=27.164; error=0.0021391998426442513;
x=9.866581681503417; y=1.0527668262778593; t=27.176; error=0.0022720156772881783;
x=9.860565293258631; y=1.0617914086450373; t=27.189; error=0.002250965509333387;
x=9.8544827583495; y=1.0709152110087343; t=27.202; error=0.0021479953591931186;
x=9.849254943404178; y=1.079279714921247; t=27.216; error=0.0018746973310797214;
x=9.843293928206412; y=1.0882212377178948; t=27.229; error=0.001913774446986834;
x=9.837274447017029; y=1.0962472126370733; t=27.242; error=0.0018970215261650445;
x=9.832282125709174; y=1.1052333909912149; t=27.256; error=0.0019068956152212492;
x=9.826175564526302; y=1.1143932327655215; t=27.269; error=0.0018059332202728887;
x=9.821148292320093; y=1.1224368682954549; t=27.283; error=0.0017801086196539925;
x=9.815284526685762; y=1.1312325167469535; t=27.296; error=0.0019068033755969787;
x=9.810413472622868; y=1.1400004140601603; t=27.31; error=0.002083832597626329;
x=9.804309004174456; y=1.1491571167327759; t=27.324; error=0.001968170207968105;
x=9.79923304709022; y=1.1572786480675545; t=27.339; error=0.0018844811596707097;
x=9.793109922963978; y=1.1664633342569175; t=27.353; error=0.0017758318433953345;
x=9.787149281672544; y=1.1754042961940694; t=27.367; error=0.0018083120054158493;
x=9.781198214201805; y=1.1843308974001783; t=27.382; error=0.0018516921868710736;
x=9.774196457346862; y=1.1933331562136749; t=27.396; error=0.001850418602214854;
x=9.767294173396332; y=1.2022075212929288; t=27.41; error=0.0019264400093826615;
x=9.760521178133287; y=1.2109156580596983; t=27.423; error=0.0021386331392137786;
x=9.753676361105317; y=1.2187383060916648; t=27.437; error=0.002284732253274445;
x=9.746741894988876; y=1.2276540482413756; t=27.45; error=0.0023601075930050667;
x=9.738779038476116; y=1.2356169047541377; t=27.463; error=0.002393317142772612;
x=9.731893505682633; y=1.2444697326314706; t=27.476; error=0.0025325074522844575;
x=9.72417048575544; y=1.2512273750677645; t=27.489; error=0.00277786148100692;
x=9.71710299320594; y=1.2603141512028384; t=27.502; error=0.0026878227920909166;
x=9.710123500013617; y=1.267293644395161; t=27.516; error=0.0027091719977156863;
x=9.702835774962496; y=1.2756224730250119; t=27.529; error=0.0023831920568303504;
x=9.695942112562811; y=1.2825161354246963; t=27.542; error=0.0024845390284381373;
x=9.688904867734651; y=1.2905587009425936; t=27.555; error=0.0024431519059615065;
x=9.68165418441522; y=1.2978093842620235; t=27.569; error=0.002217743386901835;
x=9.674668496592853; y=1.3047950720843922; t=27.582; error=0.002229708864846985;
x=9.668844908633488; y=1.3115892580369837; t=27.596; error=0.002415725593732586;
x=9.661975250085398; y=1.3184589165850753; t=27.609; error=0.002541203942991979;
x=9.65505292927781; y=1.3253812373926626; t=27.622; error=0.0026192974443615003;
x=9.647815938690226; y=1.332618227980247; t=27.635; error=0.002388873483429785;
x=9.64086638229605; y=1.338574990603827; t=27.648; error=0.0024286877655097204;
x=9.633976691014515; y=1.3454646818853615; t=27.661; error=0.0025354252604284913;
x=9.626733816835062; y=1.3516728597534653; t=27.674; error=0.0023423140703883057;
x=9.619839265199271; y=1.3585674113892545; t=27.687; error=0.0024378931529691014;
x=9.612750178418006; y=1.3646437714874824; t=27.7; error=0.0023694352968652134;
x=9.606797857315772; y=1.3705960925897152; t=27.712; error=0.002412391448751394;
x=9.599746156376202; y=1.376640407680775; t=27.725; error=0.0023732072177305077;
x=9.59285177053011; y=1.3825498812631392; t=27.738; error=0.0024545985008673733;
x=9.586551021113664; y=1.388850630679586; t=27.75; error=0.0021957619442718253;
x=9.579352218601; y=1.3950210328332981; t=27.762; error=0.0020822900344990075;
x=9.572385195695176; y=1.39999747776603; t=27.774; error=0.0020947743627355614;
x=9.565302556576444; y=1.4060683112963714; t=27.786; error=0.0020537401434426276;
x=9.558245897484573; y=1.411108782076278; t=27.797; error=0.0020360196066785416;
x=9.551271670145585; y=1.4160903730326981; t=27.808; error=0.0020438051597639396;
x=9.544481291779709; y=1.420940643294038; t=27.819; error=0.0021236780029440763;
x=9.537666153171045; y=1.4258085994430836; t=27.83; error=0.0022166844850037954;
x=9.530785845750634; y=1.4297402036833187; t=27.841; error=0.002269921019641012;
x=9.524851257163439; y=1.4346856941726476; t=27.851; error=0.002319080829541305;
x=9.519027799656962; y=1.4385679991769649; t=27.862; error=0.0024321597036730614;
x=9.513018584808059; y=1.4425741424095675; t=27.873; error=0.002425928779694466;
x=9.507146641148756; y=1.4464887715157695; t=27.883; error=0.0025155063360126056;
x=9.501380490350844; y=1.450332872047711; t=27.894; error=0.002694131478040121;
x=9.495267458607668; y=1.453389387919299; t=27.904; error=0.002624276956176299;
x=9.489291191812747; y=1.457373565782581; t=27.915; error=0.0026425270803227814;
x=9.483511773091552; y=1.461226511596711; t=27.925; error=0.0028203101993246626;
x=9.477508279067639; y=1.4642282586086675; t=27.936; error=0.002817959891663785;
x=9.471490067078907; y=1.4682403999344877; t=27.946; error=0.002802776884342413;
x=9.46415368603687; y=1.4713845632382179; t=27.957; error=0.0026199482538420164;
x=9.455924144200234; y=1.4754993341565357; t=27.967; error=0.00250181609296671;
x=9.448019078395241; y=1.4784637338334081; t=27.978; error=0.002536337921682379;
x=9.439835972108762; y=1.4825552869766476; t=27.988; error=0.002450209565660261;
x=9.430865419554616; y=1.4855454711613627; t=28.0; error=0.0024582155552314118;
x=9.420964965249244; y=1.4904956983140492; t=28.011; error=0.002504546739036282;
x=9.409868672027144; y=1.4935219601018945; t=28.022; error=0.0024815174335589348;
x=9.399109390296694; y=1.4984125427066441; t=28.034; error=0.0025897686155235524;
x=9.385941759208455; y=1.5024641215030252; t=28.046; error=0.0025365472085530413;
